"offer_name","price","mileage_km","fuel_type","transmission","engine_capacity","power","country_of_origin","description","vehicle_brand","vehicle_model","color","production_year","seller_name","seller_type","seller_time_on_site","location","weight_kg","power_num","engine_capacity_num","mileage_km_num","weight_kg_num","years","price_num"
"Volvo FL6","39360","715 000 km","Diesel","Manualna","5 480 cm3","220 KM",NA,"Witam,Do sprzedania Volvo FL6 HDSAuto z 2005r pojemności 5480 i mocy 220KMŁadowność 5290kgAuto sprawne w ciągłej eksploatacjiWięcej informacji udzielę telefonicznieTel. Wyświetl numerZapraszam również na moje inne aukcje","Volvo","FL6","Biały",2005,"REN-TRANS USŁUGI TRANSPORTOWE STĘPIEŃ MARIUSZ",NA,"Sprzedający na OTOMOTO od 2019","Zobacz więcej ofert (4) tego sprzedawcyZnajdź na mapieDUCZKI, UL. PRZYTOROWA 104 - 05-200 Wołomin, wołomiński, Mazowieckie (Polska)","5290",220,5480,715000,5290,20,39360
"MAN TG","51660","950 000 km","Diesel","Manualna","11 967 cm3","360 KM",NA,"Witam,Do sprzedania Man TG z 2001r HDS z widłami i rotatoremAuto o pojemności 11967 i mocy 360KMHDS z widłami i rotatoremAuto w pełni sprawne w ciągłej eksploatacjiWięcej informacji udzielę telefonicznieTel. Wyświetl numerZapraszam również na moje inne aukcje","MAN","TG","Pomarańczowy",2001,"REN-TRANS USŁUGI TRANSPORTOWE STĘPIEŃ MARIUSZ",NA,"Sprzedający na OTOMOTO od 2019","Zobacz więcej ofert (4) tego sprzedawcyZnajdź na mapieDUCZKI, UL. PRZYTOROWA 104 - 05-200 Wołomin, wołomiński, Mazowieckie (Polska)","13400",360,11967,950000,13400,24,51660
"Scania R450","210000","463 000 km","Diesel","Automatyczna","12 700 cm3","450 KM","Niemcy","Witam. W ofercie sprzedaży Scania R450.Rok produkcji 2019/2020.Auto serwisowane do końca w autoryzowanym punkcie Scania.Stan idealny, auto bez najmniejszego wkładu finansowego!!!Oryginalny lakier !Zawieszenie przód resor, tył poduszka.2 zbiorniki, Retarder, hydraulika dwuobwodowa Scania, klima postojowa, radar,nawigacja, LED.Możliwość finansowania (leasing/kredyt) na uproszczonych procedurach.Zapraszam do kontaktu telefonicznego","Scania","R450","Biały",2020,"Auto Komis Fryszkowski",NA,"Sprzedający na OTOMOTO od 2024","Zobacz więcej ofert (16) tego sprzedawcyZnajdź na mapieKotarwice, ul. Wierzbicka 258 - 26-624 Kowala, radomski, Mazowieckie (Polska)",NA,450,12700,463000,NA,5,210000
"Scania r440","52890","1 784 532 km","Diesel","Automatyczna",NA,NA,"Polska","Witam.Mam do sprzedania ciagnik siodlowy Scania R440, retarder, połautomat opticruse rok 2013, PDE ,WYSOKA KABINAbezwypadkowa, caly czas uzywana w transporcie miedzynarodowym,100% sprawna, spawne hamulce, skrzynia biegów, sprawne adblue, tarcze po wymianieCENA 43000 ZL netto","Scania","r440","Niebieski",2013,"urszula","Osoba prywatna","Sprzedający na OTOMOTO od 2022","Maków Mazowiecki, makowski, Mazowieckie","40000",NA,NA,1784532,40000,12,52890
"Mercedes-Benz Arego 1230L","24600","935 000 km","Diesel","Automatyczna","7 698 cm3","300 KM",NA,"Do sprzedaży Mercedes Atego 1230L. Rocznik 2014. Euro 6. Kabina sypialna 2 łóżka. Zabudowa: firanka 18 palet, 7,2m długa. z windą 1,5T i otwieranym dachem. Auto w bardzo dobrym stanie, w ciągłej eksploatacji. Polecam.Cena na eksport 20000 euro.","Mercedes-Benz","Arego 1230L","Biały",2014,"Artur","Osoba prywatna","Sprzedający na OTOMOTO od 2020","Łomianki, warszawski zachodni, Mazowieckie","5000",300,7698,935000,5000,11,24600
"MAN TGL 12.220","12915","1 200 000 km","Diesel","Manualna","4 580 cm3","220 KM",NA,"Do sprzedaży MAN TGL 12.220. Kabina sypialna duża. Plandeka 7,2 długa x 2,6 wysoki z winda 1,5T. Auto w bardzo dobrym stanie technicznym, w ciągłej eksploatacji. Wsiadać i jechać. Zainteresowanych zapraszam do kontaktu. tel Wyświetl numer. Cena: 10500euro (45000PLN) na eksport.","MAN","TGL 12.220","Biały",2011,"Artur","Osoba prywatna","Sprzedający na OTOMOTO od 2020","Dziekanów Leśny, gm. Łomianki, warszawski zachodni, Mazowieckie","5395",220,4580,1200000,5395,14,12915
"Scania r450","89000","863 349 km","Diesel","Automatyczna","12 742 cm3","450 KM","Francja","Scania 450R StreamlinePrzebieg 863tyś.km.Retarder,blokada mostu przełożenie 2,59,klimatyzacja postojowa.Cena 89000zł.","Scania","r450","Zielony",2015,"Scania","Osoba prywatna","Sprzedający na OTOMOTO od 2017","Mińsk Mazowiecki, miński, Mazowieckie",NA,450,12742,863349,NA,10,89000
"Scania R500/RADAR/RETARDER/ACC/SCC/PODUSZKI PRZÓD/KLIM.POSTOJOWA","207870","700 000 km","Diesel","Automatyczna","12 977 cm3","500 KM",NA,"Witam serdecznie na dzisiejszej aukcji chciałbym zaoferować Państwu Auto użytkowane przez jednego kierowcę, Bardzo zadbane technicznie i wizualnie bez wkładu finansowego...Polecam i zapraszam do kontaktu.CENA NETTO: 169.000 złTel: Wyświetl numer*SCANIA 500 S EURO6 STANDARD*ROK PRODUKCJI 2019*Ksenony*PRZEBIEG: 700.000 km Serwisowany w ASO Scania Niemcy*WERSJA STANDARD*EURO 6*AUTOMATYCZNA SKRZYNIA BIEGÓW*SUPER STAN !!!*SPROWADZONA*JEDEN WŁAŚCICIEL*WYPOSAŻENIE:* Oświetlenie dodatkowe sygnalizacyjne*Automatyczna skrzynia biegów*Lodówka*Światła LED do jazdy dziennej*Światła LED z tyłu*Halogeny przeciwmgielne*Ogrzewanie postojowe - WEBASTO*Fotele pneumatyczne + podgrzewane + wentylowane*Nawigacja*Elektrycznie sterowane lusterka + podgrzewane*Retarder*Szyber Dach*Klimatyzacja automatyczna*Aktywny tempomat*Asystent pasa ruchu*System wspomagający kierowcę*System ostrzegania przed kolizją*Centralny zamek*Blokada mostu*Skórzana wielofunkcyjna kierownica*Pełne ospojlerowanie kabiny*Spojlery międzyosiowe*ASR/ESP*ABS/ASR*Radio CD/MP3*Opony przód: 385/65R22.5*Opony tył: 315/70R22.5PRZYGOTOWANA DO REJESTRACJI !!! KPL Dokumentów do Rejestracji..FAKTURA VATTel : Wyświetl numerŚWIEŻO SPROWADZONA !!!Pomoc w uzyskaniu Leasingu lub Kredytu","Scania","R500/RADAR/RETARDER/ACC/SCC/PODUSZKI PRZÓD/KLIM.POSTOJOWA","Biały",2019,"A.S TRUCK ADRIAN FRYSZKOWSKI",NA,"Sprzedający na OTOMOTO od 2024","poniedziałek08:00 - 20:00wtorek08:00 - 20:00środa08:00 - 20:00czwartek08:00 - 20:00piątek08:00 - 20:00sobota08:00 - 20:00niedziela08:00 - 18:00Znajdź na mapieWincentowska 46 - 26-640 Skaryszew, radomski, Mazowieckie (Polska)","18000",500,12977,700000,18000,6,207870
"MAN TGX","65190","868 000 km","Diesel","Automatyczna","12 419 cm3","440 KM",NA,"Witam.Do sprzedania ciągnik siodłowy MAN TGX 2015.Oryginalny przebieg. Pojazd z ruchu międzynarodowego, serwisowany ASO.Stan dobry.Więcej informacji udzielę pod numerem telefonu: Wyświetl numerAuto do obejrzenia w okolicach Warszawy","MAN","TGX","Biały",2015,"Wojciech","Osoba prywatna","Sprzedający na OTOMOTO od 2023","Warszawa, Wilanów","20500",440,12419,868000,20500,10,65190
"Mercedes-Benz Actros","62000","1 041 692 km","Diesel","Automatyczna","12 809 cm3","450 KM","Polska","Sprzedam Actros MP4 1845 z Polskiego salonu, jestem jego 2gim właścicielem od 7 lat w moich rękach.Pojazd z firmy transportowej, gotowy do pracy nie posiada absolutnie żadnych usterek, wszystkie naprawy wykonywane na czas.- pojazd w rzadkiej wersji z salonką (SOLO STAR)- PPC- brak retardera- skrzynia jest po gruntownym remoncie od tego czasu zrobiła 70 tysięcy- welurowe fotele- zadbany środekCena 62 000 zł na export","Mercedes-Benz","Actros","Biały",2015,"Michał","Osoba prywatna","Sprzedający na OTOMOTO od 2014","Ostrołęka, Mazowieckie",NA,450,12809,1041692,NA,10,62000
"Scania Euro 6 R450","158000","711 625 km","Diesel","Automatyczna","13 000 cm3","450 KM",NA,"Do sprzedania:Sprowadzona Scania R450 Euro 6 bez EGR zakupiona w serwisie Scanii NiemcySilnik DC13 148/450Skrzynia biegów TMS2 GRS905R z retarderemMost: 2,59 z blokadąZawieszenie: przód 2-piórowy resor , tył 2 x poduszkaZbiornik paliwa 750 litrówZbiornik adblue 80dm3Przygotowanie elektryczne PTO EGBardzo ładne opony przód i tył 315/70Hill hold , czujnik odległości DIS2 , przednia kamera FLC1, układ sterowania BWE-BCI2 , lodówka, navi , CB, tempomat adaptacyjny , ogrzewanie WTA 3kW, klimatyzacja . Cena netto. Więcej informacji udzielę pod numerem telefonu: Wyświetl numer.","Scania","Euro 6 R450","Biały",2018,"Marcin","Osoba prywatna","Sprzedający na OTOMOTO od 2015","Radom, Mazowieckie","18000",450,13000,711625,18000,7,158000
"Mercedes-Benz Actros 1843","60000","700 000 km","Diesel","Automatyczna","10 677 cm3","315 KM",NA,"MERCEDES-BENZ ACTROS 1843 MEGA niski przebieg, głównie na terenie kraju. Istnieje możliwość sprzedaży całego zestawu za 80 tys. zł.","Mercedes-Benz","Actros 1843","Biały",2014,"Olek","Osoba prywatna","Sprzedający na OTOMOTO od 2016","Serock, legionowski, Mazowieckie","18000",315,10677,700000,18000,11,60000
"Ford F-MAX","160000","70 000 km","Diesel","Automatyczna","1 274 cm3","484 KM",NA,"Nowe auto ,tylko 70000 tyś przebiegu . Samochód jezdził  tylko jedna trasą ,nigdy z maksymalnym obciążeniem, powroty zawsze na pusto . Nie jezdził pod spedycjami ,własny magazyn i swoje załadunki.","Ford","F-MAX","Biały",2022,"Roman","Osoba prywatna","Sprzedający na OTOMOTO od 2019","Suchodół, piaseczyński, Mazowieckie","18000",484,1274,70000,18000,3,160000
"Scania R450","230000","457 798 km","Diesel","Automatyczna","12 742 cm3","450 KM","Polska","Sprzedam ciężarówkę Scania R450 z 2020 roku na zasadzie cesji leasingu w PKO Leasing. Spłacone 33/60 rat, wysokość raty 1504€, odstępne jest do uzgodnienia po kontakcie. Pojazd w idealnym stanie technicznym i wizualnym, regularnie serwisowany w autoryzowanym serwisie Scania. W pełni gotowy do pracy, idealny do długodystansowych tras.Proszę o kontakt telefoniczny pod numerem Wyświetl numer lub h.sadziak@bbats.pl. Chętnie odpowiem na wszystkie pytania i umówię na oględziny pojazdu.Zapraszam do kontaktu!","Scania","R450","Biały",2020,"Hubert","Osoba prywatna","Sprzedający na OTOMOTO od 2024","Warszawa, Wawer",NA,450,12742,457798,NA,5,230000
"DAF XF 106","87945","686 000 km","Diesel","Automatyczna",NA,"460 KM","Polska","** DAF XF 450 * Lowdeck Super Space CabROK PRODUKCJI: 2016 - SIERPIENMOC w KM: 460NORMA EMISJI SPALIN: Euro 6SKRZYNIA BIEGÓW: AUTOMATYCZNANISKI PRZEBIEG: 686 000 km !!!KOLOR: BiałyKABINA: Super Space CabROZMIAR OPON: Przód 315/60/R22,5 Tył 295/60/22,5STAN OPON 50-70%MATERAC ŁÓŻKA KOMFORTOWYGDZIE POJAZD SIĘ ZNAJDUJE: 96-300 ŻyrardówWYPOSAŻENIE:- Spoilery zakabinowe- Tempomat- Spoiler dachowy- Lodówka- Dwa zbiornik paliwa- ASR, ABS, EBS- Mechaniczna blokada mechanizmu różnicowego- Podłokietnik fotela kierowcy i pasażeraPojazd poruszał się w ruchu miedzynarodowym, PL-DE-BE-NL-PL, eksploatacja krótkie trasy, lekki towar (głównie trasy Amazon). Stan techniczny pojazdu bardzo dobry. Filtry wymienione listopad 2024r, Olej wymieniony lipiec 2024r. Nie wymaga wkładu, gotowy do jazdy.","DAF","XF 106","Biały",2016,"Pawel Mroz","Osoba prywatna","Sprzedający na OTOMOTO od 2020","Żyrardów, żyrardowski, Mazowieckie",NA,460,NA,686000,NA,9,87945
"DAF LF 260 FA","172200","197 133 km","Diesel","Automatyczna","6 700 cm3","264 KM","Polska","TRUCK CARE należy do silnej Grupy finansowej EFL, która jest częścią Credit Agricole S.A., jednej z największych instytucji finansowych w Europie oraz Credit Agricole Leasing&Factoring S.A., najważniejszego uczestnika sektora leasingu i faktoringu w Europie. To również spółka Grupy DBK, największego w Polsce dostawcy produktów i usług dla branży TSL.Więcej na www.truckcare.pl.Oferujemy do sprzedaży pojazdy, wyłącznie których jesteśmy pierwszym właścicielem. Pojazdy pochodzą z polskiej dystrybucji oraz posiadają pełną historię serwisową.Proponujemy również możliwość zakupu pojazdów z korzystnymi warunkami finansowania.DAF LF 260 FACena z finansowaniem EFL: 140 000 PLN netto + 23% VATCena bez finansowania EFL: 145 000 PLN netto + 23% VATRok produkcji: 2020Moc silnika KM: 264Norma emisji spalin: EURO 6Winda: DHOLLANDIA DH-LM.15Rozstaw osi: 5,35mPrzełożenie tylnej osi: 2,96Zbiorniki paliwa: 200 litrówKolor: białyWYMIARY ZABUDOWYDługość zew./wew. - 7300 / 7240 mmSzerokość zew./wew. - 2550 / 2480 mmWysokość: - 4000 mm (całkowita od ziemi)Wysokość wew. - 2970 mmW przypadku chęci oględzin, prosimy o wcześniejszy kontakt telefoniczny lub e-mail, w celu potwierdzenia lokalizacji oraz dostępności pojazdu.Tel. Wyświetl numerE-mail: uzywane@truckcare.plNiniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl art. 66,§ 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia.","DAF","LF 260 FA","Biały",2020,"Truck Care Sp. z o.o.",NA,"Sprzedający na OTOMOTO od 2023","poniedziałek08:00 - 16:00wtorek08:00 - 16:00środa08:00 - 16:00czwartek08:00 - 16:00piątek08:00 - 16:00sobotaZamknięteniedzielaZamknięteZnajdź na mapieAleja Katowicka 404, Urzut, Polska - 05-830 Kostowiec, pruszkowski, Mazowieckie (Polska)",NA,264,6700,197133,NA,5,172200
"Scania 144G 460 z HDS Atlas","46740","1 050 000 km","Diesel",NA,NA,NA,NA,"Sprzedam Scanie 144G 460KM z HDS Atlas. Przebieg 1050000 km. Samochód do obejrzenia w Starych Babicach kolo Warszawy.Telefon Wyświetl numer","Scania","144G 460 z HDS Atlas","Biały",1997,"Zdzisław","Osoba prywatna","Sprzedający na OTOMOTO od 2014","Stare Babice, warszawski zachodni, Mazowieckie",NA,NA,NA,1050000,NA,28,46740
"Renault T460","85977","651 526 km","Diesel","Automatyczna","10 837 cm3","460 KM","Niemcy","Renault Gamma T460 z HydraulikąEuro VIPrzebieg: 651 5002 osie2 łóżkalodówkawebastoAuto w bardzo dobrym stanie.Po więcej informacji prosze kontaktować się telefonicznie.","Renault","T460","Biały",2015,"Robert","Osoba prywatna","Sprzedający na OTOMOTO od 2023","Kowala, radomski, Mazowieckie",NA,460,10837,651526,NA,10,85977
"MAN TGA 26.410 FDK 6X4","110577","300 000 km","Diesel","Manualna","11 967 cm3","410 KM",NA,"TGA 26.410 FDK 6X4/ WYWROTKA / HYDROBURTA /  MANUAL / BORDMATIC / DATA I REJESTRACJI: 20.01.2004PRZEBIEG: 300000 KM-MANUALNA SKRZYNIA BIEGÓWKLIMATYZACJABLOKADA MOSTÓW-3 OSIENAPĘD 6X4ROZSTAW OSI:1-2: 3,6 M2-3: 1,35 M-2 STRONNY WYWROT HYDROBURTAKLAPO-DRZWIWYMIARY ZABUDOWY:DŁUGOŚĆ: 5,25 MWYSOKOŚĆ: 0,85 MSZEROKOŚĆ: 2,35 M-DMC: 26 000 KGMASA WŁASNA: 13 300 KGSERWISOWANY100 % BEZWYPADKOWYSTAN DOBRY--CENA NETTO : 89900PLN-Wszelkie dodatkowe informacje dotyczące samochoduuzyskacie państwo pod numeram telefonu:Wyświetl numer -","MAN","TGA 26.410 FDK 6X4","Biały",2004,"Krzysztof","Osoba prywatna","Sprzedający na OTOMOTO od 2018","Ostrołęka, Mazowieckie","13450",410,11967,300000,13450,21,110577
"Volvo XL Duże zbiorniki Automat","65000","1 500 900 km","Diesel","Automatyczna",NA,"460 KM",NA,"Volvo FH13 2010r Automat Kabina XLDuże zbiorniki Długa rama Klimatyzacja postojowa WhatsApp","Volvo","XL Duże zbiorniki Automat","Granatowy",2010,"","Osoba prywatna","Sprzedający na OTOMOTO od 2022","Ostrówek, węgrowski, Mazowieckie",NA,460,NA,1500900,NA,15,65000
"Iveco 70C17","49077","188 231 km","Diesel","Manualna","2 998 cm3","170 KM",NA,"Sprzedam Iveco 70c17, auto krajowe, serwisowane, niski przebieg 188231 km, poduszki pneumatyczne z tyłu.","Iveco","70C17","Biały",2012,"Marek","Osoba prywatna","Sprzedający na OTOMOTO od 2017","Warszawa, Targówek","3170",170,2998,188231,3170,13,49077
"DAF LF 260 FA","28290","307 698 km","Diesel","Manualna","6 700 cm3","264 KM",NA,"TRUCK CARE należy do silnej Grupy finansowej EFL, która jest częścią Credit Agricole S.A., jednej z największych instytucji finansowych w Europie oraz Credit Agricole Leasing&Factoring S.A., najważniejszego uczestnika sektora leasingu i faktoringu w Europie. To również spółka Grupy DBK, największego w Polsce dostawcy produktów i usług dla branży TSL.Więcej na www.truckcare.pl.Oferujemy do sprzedaży pojazdy, wyłącznie których jesteśmy pierwszym właścicielem. Pojazdy pochodzą z polskiej dystrybucji oraz posiadają pełną historię serwisową.Proponujemy również możliwość zakupu pojazdów z korzystnymi warunkami finansowania.DAF LF 260 FACena z finansowaniem EFL: 23 000 € netto + 23% VATCena bez finansowania EFL: 24 000 € netto + 23% VATRok produkcji: 2018Moc silnika KM: 264Norma emisji spalin: EURO 6Agregat: CARRIER SUPRA 850Winda: DHOLLANDIA DH-LM.15Rozstaw osi: 5,35mPrzełożenie tylnej osi: 2,96Zbiorniki paliwa: 200 litrówZabudowa chłodnia na 17 epKolor: białyW przypadku chęci oględzin, prosimy o wcześniejszy kontakt telefoniczny lub e-mail, w celu potwierdzenia lokalizacji oraz dostępności pojazdu.Tel. Wyświetl numerE-mail: uzywane@truckcare.plNiniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl art. 66,§ 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia.","DAF","LF 260 FA","Biały",2018,"Truck Care Sp. z o.o.",NA,"Sprzedający na OTOMOTO od 2023","poniedziałek08:00 - 16:00wtorek08:00 - 16:00środa08:00 - 16:00czwartek08:00 - 16:00piątek08:00 - 16:00sobotaZamknięteniedzielaZamknięteZnajdź na mapieAleja Katowicka 404, Urzut, Polska - 05-830 Kostowiec, pruszkowski, Mazowieckie (Polska)","7840",264,6700,307698,7840,7,28290
